pred.score,reference,prediction
0.68,Yes,Yes
0.03,No,No
0.79,Yes,Yes
0.14,No,No
0.09,No,No
0.05,No,No
0.08,No,No
0.06,No,No
0.01,No,No
0.02,No,No
0.13,No,No
0.32,No,No
0.2,No,No
0.05,No,No
0.54,Yes,Yes
0.02,No,No
0.07,No,No
0.15,No,No
0.03,No,No
0.05,No,No
0.13,No,No
0.72,Yes,Yes
0.04,No,No
0.72,Yes,Yes
0.03,No,No
0.85,Yes,Yes
0.01,No,No
0.05,No,No
0.04,No,No
0.03,No,No
0.77,Yes,Yes
0.72,Yes,Yes
0.27,No,No
0.12,No,No
0.04,No,No
0.05,No,No
0.06,No,No
0.77,Yes,Yes
0.05,No,No
0.08,No,No
0.05,Yes,No
0.07,No,No
0.24,No,No
0.29,No,No
0.07,No,No
0.76,Yes,Yes
0.05,No,No
0.06,No,No
0.34,No,No
0.07,No,No
0.04,No,No
0.42,No,No
0.1,No,No
0.02,No,No
0.06,No,No
0.04,No,No
0.01,No,No
0.14,No,No
0.02,No,No
0.05,No,No
0.02,No,No
0.03,No,No
0.05,No,No
0.27,Yes,No
0.11,No,No
0.01,No,No
0.15,No,No
0.02,No,No
0.07,No,No
0.08,No,No
0.08,No,No
0.08,No,No
0.02,No,No
0.23,No,No
0.07,No,No
0.05,No,No
0.06,No,No
0.03,No,No
0.02,No,No
0.06,No,No
0.12,No,No
0.02,No,No
0.02,No,No
0.05,Yes,No
0.01,No,No
0.22,No,No
0.06,No,No
0.02,No,No
0.15,No,No
0.03,No,No
0.14,No,No
0.14,No,No
0.77,Yes,Yes
0.66,Yes,Yes
0.05,No,No
0.06,No,No
0.02,No,No
0.06,No,No
0.81,Yes,Yes
0.05,No,No
0.04,No,No
0.75,Yes,Yes
0.2,No,No
0.03,No,No
0.12,No,No
0.02,No,No
0.04,No,No
0.06,No,No
0.12,No,No
0.04,No,No
0.11,No,No
0.72,Yes,Yes
0.05,No,No
0.77,Yes,Yes
0.03,No,No
0.27,Yes,No
0.57,Yes,Yes
0.06,No,No
0.05,No,No
0.2,No,No
0.05,No,No
0.84,Yes,Yes
0.03,No,No
0.06,No,No
0.16,No,No
0.08,Yes,No
0.02,No,No
0.1,No,No
0.32,No,No
0.35,Yes,No
0.15,No,No
0.07,No,No
0.14,No,No
0.06,No,No
0,No,No
0.03,No,No
0.12,No,No
0,No,No
0.07,No,No
0.06,No,No
0.15,No,No
0.02,No,No
0.09,No,No
0.01,No,No
0.06,No,No
0.02,No,No
0.1,No,No
0.07,No,No
0.14,No,No
0.04,No,No
0.12,No,No
0.16,No,No
0.06,No,No
0.03,No,No
0.03,No,No
0.04,No,No
0.03,No,No
0.27,No,No
0.88,Yes,Yes
0.11,No,No
0.09,No,No
0.04,No,No
0.05,No,No
0.87,Yes,Yes
0.03,No,No
0.04,No,No
0.1,No,No
0.06,No,No
0.76,Yes,Yes
0.11,No,No
0.04,No,No
0.02,No,No
0.03,No,No
0.01,No,No
0.01,No,No
0.05,No,No
0.07,No,No
0.75,Yes,Yes
0.13,No,No
0.1,No,No
0.09,No,No
0.06,No,No
0,No,No
0.11,No,No
0.05,No,No
0.05,No,No
0.05,No,No
0.36,No,No
0.33,No,No
0.79,Yes,Yes
0.75,Yes,Yes
0.11,No,No
0.04,No,No
0.03,No,No
0.02,No,No
0.62,Yes,Yes
0.04,No,No
0.03,No,No
0.29,Yes,No
0.01,No,No
0.69,Yes,Yes
0.22,Yes,No
0.01,No,No
0.03,No,No
0.15,No,No
0.08,No,No
0.02,No,No
0.09,No,No
0.05,No,No
0.18,No,No
0.05,No,No
0.01,No,No
0.78,Yes,Yes
0.13,No,No
0.05,No,No
0.02,No,No
0.74,Yes,Yes
0.02,No,No
0.09,No,No
0.02,No,No
0.78,Yes,Yes
0.04,No,No
0.05,No,No
0.16,No,No
0.01,No,No
0.04,No,No
0.05,No,No
0.09,No,No
0.01,No,No
0.05,No,No
0.02,No,No
0.66,Yes,Yes
0.05,No,No
0.03,No,No
0.21,No,No
0.1,No,No
0.06,No,No
0.1,No,No
0.01,No,No
0.09,No,No
0.62,Yes,Yes
0.11,No,No
0.02,No,No
0.04,No,No
0.04,No,No
0.74,Yes,Yes
0.04,No,No
0.13,No,No
0.05,No,No
0.09,No,No
0.65,Yes,Yes
0.03,No,No
0.01,No,No
0.13,No,No
0.04,No,No
0.03,No,No
0.14,No,No
0.04,No,No
0.02,No,No
0,No,No
0.04,No,No
0.03,No,No
0.15,No,No
0.18,No,No
0.04,No,No
0.84,Yes,Yes
0.02,No,No
0.74,Yes,Yes
0.09,No,No
0.05,No,No
0.01,No,No
0.08,No,No
0.77,Yes,Yes
0.13,No,No
0.05,No,No
0.79,Yes,Yes
0.03,No,No
0.05,No,No
0.03,No,No
0.01,No,No
0.19,No,No
0.18,No,No
0.08,No,No
0.01,No,No
0.1,No,No
0,No,No
0.01,No,No
0.03,No,No
0.12,No,No
0.08,No,No
0.08,No,No
0.14,No,No
0.1,No,No
0.07,No,No
0.06,No,No
0.06,No,No
0.09,Yes,No
0.14,No,No
0.08,No,No
0.36,No,No
0.02,No,No
0.03,No,No
0.71,Yes,Yes
0.01,No,No
0.02,No,No
0.01,No,No
0.8,Yes,Yes
0.15,No,No
0.02,No,No
0.04,No,No
0.08,No,No
0.07,No,No
0.14,No,No
0.11,No,No
0.01,No,No
0.07,No,No
0.01,No,No
0,No,No
0.05,No,No
0.08,No,No
0.04,No,No
0.04,No,No
0.4,No,No
0.04,No,No
0.06,No,No
0.33,No,No
0.01,No,No
0.24,No,No
0.07,No,No
0.2,No,No
0.01,No,No
0.08,No,No
0.85,Yes,Yes
0.05,No,No
0.07,No,No
0.05,No,No
0.13,No,No
0.56,Yes,Yes
0.01,No,No
0.69,Yes,Yes
0.14,No,No
0.13,No,No
0.09,No,No
0.03,No,No
0.14,No,No
0.04,No,No
0.02,No,No
0,No,No
0.77,Yes,Yes
0.04,No,No
0.05,No,No
0.65,Yes,Yes
0.3,No,No
0.01,No,No
0.92,Yes,Yes
0.08,No,No
0.06,No,No
0.03,No,No
0.07,No,No
0,No,No
0.06,No,No
0.03,No,No
0.07,No,No
0.04,No,No
0.14,No,No
0.02,No,No
0.14,No,No
0.05,No,No
0.02,No,No
0.03,No,No
0.03,No,No
0.71,Yes,Yes
0.06,No,No
0.05,No,No
0.05,No,No
0.03,No,No
0.05,No,No
0.14,No,No
0.01,No,No
0.17,No,No
0.4,Yes,No
0.66,Yes,Yes
0.17,No,No
0.17,No,No
0.11,No,No
0,No,No
0.63,Yes,Yes
0.82,Yes,Yes
0.06,No,No
0.03,No,No
0.03,No,No
0.11,No,No
0.06,No,No
0.04,No,No
0.05,No,No
0.05,No,No
0.01,No,No
0.09,No,No
0.07,No,No
0.67,Yes,Yes
0.74,Yes,Yes
0.23,No,No
0.07,No,No
0.76,Yes,Yes
0.68,Yes,Yes
0.13,No,No
0.04,No,No
0.82,Yes,Yes
0.06,No,No
0.04,No,No
0.09,No,No
0.01,No,No
0.15,No,No
0.13,No,No
0.01,No,No
0.76,Yes,Yes
0.01,No,No
0.04,No,No
0.63,Yes,Yes
0.22,No,No
0.17,No,No
0.15,No,No
0.07,No,No
0.01,No,No
0.68,Yes,Yes
0.13,No,No
0.06,No,No
0.04,No,No
0.02,No,No
0.72,Yes,Yes
0.09,No,No
0.04,No,No
0.08,No,No
0.1,No,No
0.34,No,No
0.12,No,No
0.18,No,No
0.11,No,No
0.67,Yes,Yes
0.39,Yes,No
0.03,No,No
0.72,Yes,Yes
0.01,No,No
0.09,No,No
0.06,No,No
0.09,No,No
0.31,No,No
0.01,No,No
0.05,No,No
0.09,No,No
0.03,No,No
0.04,No,No
0.11,No,No
0.17,Yes,No
0.19,No,No
0.07,No,No
0.03,No,No
0.02,No,No
0.1,No,No
0.2,No,No
0.07,No,No
0.81,Yes,Yes
0.1,No,No
0.02,No,No
0.01,No,No
0.04,No,No
0.06,No,No
0.06,No,No
0.03,No,No
0.05,No,No
0.74,Yes,Yes
0.79,Yes,Yes
0.08,No,No
0.05,No,No
0.04,No,No
0.03,No,No
0,No,No
0.01,No,No
0.06,No,No
0.05,No,No
0.01,No,No
0.81,Yes,Yes
0.02,No,No
0.03,No,No
0.01,No,No
0.01,No,No
0.01,No,No
0.05,No,No
0.05,No,No
0,No,No
0.02,No,No
0.34,No,No
0.04,No,No
0.01,No,No
0.05,No,No
0.79,Yes,Yes
0.02,No,No
0.15,No,No
0.1,No,No
0.09,No,No
0.39,No,No
0.69,Yes,Yes
0.01,No,No
0.16,No,No
0.14,No,No
0.02,No,No
0.15,No,No
0.06,No,No
0.02,No,No
0.02,No,No
0.02,No,No
0.31,No,No
0.07,No,No
0.07,No,No
0.8,Yes,Yes
0.06,No,No
0.1,No,No
0.21,No,No
0.29,Yes,No
0,No,No
0.62,Yes,Yes
0.05,No,No
0.08,No,No
0.03,No,No
0.28,Yes,No
0.02,No,No
0.06,No,No
0.04,No,No
0.05,No,No
0.18,No,No
0.07,No,No
0.18,No,No
0.04,No,No
0.03,No,No
0.03,No,No
0,No,No
0.74,Yes,Yes
0.08,No,No
0.03,No,No
0.01,No,No
0.73,Yes,Yes
0.05,No,No
0.77,Yes,Yes
0.04,No,No
0.02,No,No
0.02,No,No
0.09,Yes,No
0.08,No,No
0.05,No,No
0.64,Yes,Yes
0.06,No,No
0,No,No
0.09,No,No
0.05,No,No
0.12,No,No
0.03,No,No
0.09,No,No
0.68,Yes,Yes
0.04,No,No
0.03,No,No
0.17,No,No
0.22,No,No
0.66,Yes,Yes
0.09,No,No
0.07,No,No
0,No,No
0.21,No,No
0.03,No,No
0.18,No,No
0.01,No,No
0.02,No,No
0.15,No,No
0.05,No,No
0.06,No,No
0,No,No
0.04,No,No
0.11,No,No
0.13,No,No
0.2,No,No
0.05,No,No
0.36,No,No
0.03,No,No
0.06,No,No
0.02,No,No
0.65,Yes,Yes
0.02,No,No
0.23,No,No
0.09,No,No
0.02,No,No
0.04,No,No
0.23,No,No
0.03,No,No
0.81,Yes,Yes
0.05,No,No
0.03,No,No
0.11,No,No
0.03,No,No
0.02,No,No
0.23,No,No
0.11,No,No
0.05,No,No
0.06,No,No
0.09,No,No
0.8,Yes,Yes
0.04,No,No
0.21,No,No
0.04,No,No
0.44,Yes,No
0.06,No,No
0.73,Yes,Yes
0.7,Yes,Yes
0.02,No,No
0.16,No,No
0.65,Yes,Yes
0.06,No,No
0.42,Yes,No
0.06,No,No
0.07,No,No
0.21,No,No
0.04,No,No
0.07,No,No
0.07,No,No
0.07,No,No
0.16,No,No
0.01,No,No
0,No,No
0.21,No,No
0.55,Yes,Yes
0.1,No,No
0.05,No,No
0.34,No,No
0.75,Yes,Yes
0.12,No,No
0.11,No,No
0.02,No,No
0.07,Yes,No
0.75,Yes,Yes
0.03,No,No
0.09,No,No
0.01,No,No
0.02,No,No
0.71,Yes,Yes
0.08,No,No
0.16,No,No
0.07,No,No
0.33,Yes,No
0.06,No,No
0.04,No,No
0.81,Yes,Yes
0.06,No,No
0.58,Yes,Yes
0.07,No,No
0.04,No,No
0.03,No,No
0.03,No,No
0.02,No,No
0.09,No,No
0.04,No,No
0.14,No,No
0.01,No,No
0.01,No,No
0.08,No,No
0.82,Yes,Yes
0.14,No,No
0.07,No,No
0.01,No,No
0.84,Yes,Yes
0.26,Yes,No
0.06,No,No
0.13,No,No
0.06,No,No
0,No,No
0.01,No,No
0.01,No,No
0.04,No,No
0.01,No,No
0.25,No,No
0.04,No,No
0.63,Yes,Yes
0.05,No,No
0,No,No
0.12,No,No
0.82,Yes,Yes
0.16,Yes,No
0.14,No,No
0.08,No,No
0.68,Yes,Yes
0.2,No,No
0.05,No,No
0.02,No,No
0.06,No,No
0.23,No,No
0.62,Yes,Yes
0.81,Yes,Yes
0.11,No,No
0.14,No,No
0.01,No,No
0.02,No,No
0.01,No,No
0.15,No,No
0.05,No,No
0.07,No,No
0.05,No,No
0.06,No,No
0.04,No,No
0.82,Yes,Yes
0.66,Yes,Yes
0.02,No,No
0.34,Yes,No
0.69,Yes,Yes
0.08,No,No
0.02,No,No
0,No,No
0.03,No,No
0.03,No,No
0.02,No,No
0.02,No,No
0.02,No,No
0.81,Yes,Yes
0,No,No
0.61,Yes,Yes
0.04,No,No
0.08,No,No
0.12,No,No
0.18,Yes,No
0.79,Yes,Yes
0.79,Yes,Yes
0.03,No,No
0.03,No,No
0.05,No,No
0.02,No,No
0.11,No,No
0.05,No,No
0.02,No,No
0.01,No,No
0.03,No,No
0.01,No,No
0.12,Yes,No
0.05,No,No
0.2,No,No
0.06,No,No
0.04,No,No
0.27,No,No
0.06,No,No
0.03,No,No
0.04,No,No
0.02,No,No
0.06,No,No
0.08,No,No
0.07,No,No
0.15,No,No
0.34,Yes,No
0.73,Yes,Yes
0.1,No,No
0.63,Yes,Yes
0,No,No
0.03,No,No
0.03,No,No
0.24,No,No
0.16,Yes,No
0.81,Yes,Yes
0.22,No,No
0.04,No,No
0.23,No,No
0.4,Yes,No
0.05,No,No
0.05,No,No
0.01,No,No
0.03,No,No
0.08,No,No
0.76,Yes,Yes
0.11,No,No
0.04,No,No
0.02,No,No
0.15,No,No
0.09,No,No
0,No,No
0.12,No,No
0.21,Yes,No
0.02,No,No
0.71,Yes,Yes
0.01,No,No
0.09,No,No
0.1,No,No
0.75,Yes,Yes
0.07,No,No
0.07,No,No
0,No,No
0.1,No,No
0.04,No,No
0.76,Yes,Yes
0.15,No,No
0.06,No,No
0.03,No,No
0.15,No,No
0.1,No,No
0.02,No,No
0.04,No,No
0.12,No,No
0.09,No,No
0.1,No,No
0.02,No,No
0.03,No,No
0.03,No,No
0.04,No,No
0.03,No,No
0.04,No,No
0.08,No,No
0.02,No,No
0.03,No,No
0.84,Yes,Yes
0.02,No,No
0.06,No,No
0.04,No,No
0.06,No,No
0.03,No,No
0.02,No,No
0.03,No,No
0.29,No,No
0.02,No,No
0.05,No,No
0.08,No,No
0,No,No
0.23,No,No
0.04,No,No
0.05,No,No
0.22,No,No
0.12,No,No
0.84,Yes,Yes
0.1,No,No
0.63,Yes,Yes
0.04,No,No
0.7,Yes,Yes
0.01,No,No
0.16,No,No
0.07,No,No
0.07,No,No
0.02,No,No
0.21,No,No
0.03,No,No
0.04,No,No
0.21,No,No
0.06,No,No
0.1,No,No
0.65,Yes,Yes
0.11,No,No
0.18,No,No
0.07,No,No
0.66,Yes,Yes
0.29,No,No
0.09,No,No
0.02,No,No
0.12,No,No
0.07,No,No
0.34,No,No
0.66,Yes,Yes
0.12,Yes,No
0.06,No,No
0.1,No,No
0.08,No,No
0.07,No,No
0.76,Yes,Yes
0.69,Yes,Yes
0.11,No,No
0.1,No,No
0.2,No,No
0.05,No,No
0.72,Yes,Yes
0.77,Yes,Yes
0.06,No,No
0.01,No,No
0.1,No,No
0.04,No,No
0.02,No,No
0.03,No,No
0.11,No,No
0.01,No,No
0.01,No,No
0.03,No,No
0.07,No,No
0.04,No,No
0,No,No
0.1,No,No
0.02,No,No
0.18,No,No
0.05,No,No
0.06,No,No
0.7,Yes,Yes
0.05,No,No
0.11,No,No
0.02,No,No
0.08,No,No
0.8,Yes,Yes
0.65,Yes,Yes
0.04,No,No
0.04,No,No
0.63,Yes,Yes
0.07,No,No
0.07,No,No
0.05,No,No
0.23,No,No
0.07,No,No
0.08,No,No
0.02,No,No
0.07,No,No
0.09,No,No
0.02,No,No
0.1,No,No
0.8,Yes,Yes
0.17,No,No
0.04,No,No
0.08,No,No
0.05,No,No
0.04,No,No
0.09,No,No
0.74,Yes,Yes
0.34,Yes,No
0.02,No,No
0.04,No,No
0,No,No
0.03,No,No
0.1,No,No
0.04,No,No
0.75,Yes,Yes
0.06,No,No
0.04,No,No
0.09,No,No
0.06,No,No
0.06,No,No
0.09,No,No
0.07,No,No
0.01,No,No
0.07,No,No
0.11,No,No
0.02,No,No
0.69,Yes,Yes
0.78,Yes,Yes
0.64,Yes,Yes
0.08,No,No
0.81,Yes,Yes
0.1,No,No
0.77,Yes,Yes
0,No,No
0.02,No,No
0.02,No,No
0.02,No,No
0.04,No,No
0.05,No,No
0.04,No,No
0.02,No,No
0.11,No,No
0.1,No,No
0.05,No,No
0.1,No,No
0.06,No,No
0.03,No,No
0.02,No,No
0.02,No,No
0.59,Yes,Yes
0.36,Yes,No
0.78,Yes,Yes
0.07,No,No
0.84,Yes,Yes
0.12,No,No
0.05,No,No
0.01,No,No
0.12,No,No
0.08,No,No
0.04,No,No
0.75,Yes,Yes
0.13,No,No
0.03,No,No
0.05,No,No
0.04,No,No
0.02,No,No
0.09,No,No
0.06,No,No
0.02,No,No
0.74,Yes,Yes
0.02,No,No
0.03,No,No
0.1,No,No
0.68,Yes,Yes
0.22,Yes,No
0.21,No,No
0.09,No,No
0.03,No,No
0.05,No,No
0.05,No,No
0.06,No,No
0.06,No,No
0.02,No,No
0.05,No,No
0.2,No,No
0.14,No,No
0.05,No,No
0.03,No,No
0.04,No,No
0.13,No,No
0.13,No,No
0.05,No,No
0.06,Yes,No
0.01,No,No
0.22,No,No
0.02,No,No
0.74,Yes,Yes
0.73,Yes,Yes
0.66,Yes,Yes
0.05,No,No
0.05,No,No
0.15,No,No
0.08,No,No
0.03,No,No
0.17,No,No
0.02,No,No
0.06,No,No
0.06,No,No
0.14,No,No
0.09,No,No
0.01,No,No
0.06,No,No
0.03,No,No
0.04,No,No
0.05,No,No
0,No,No
0.09,No,No
0.06,No,No
0.05,No,No
0.03,No,No
0.11,No,No
0.5,Yes,No
0.24,No,No
0.08,No,No
0.05,No,No
0.08,No,No
0.27,No,No
0.03,No,No
0.03,No,No
0.04,No,No
0,No,No
0.02,No,No
0.01,No,No
0.01,No,No
0.04,No,No
0.59,Yes,Yes
0.11,No,No
0.04,No,No
0.01,No,No
0.01,No,No
0.06,No,No
0.06,No,No
0.03,No,No
0.14,Yes,No
0.04,No,No
0.01,No,No
0.08,No,No
0.01,No,No
0.75,Yes,Yes
0.11,No,No
0.08,No,No
0.11,No,No
0.84,Yes,Yes
0.06,No,No
0,No,No
0.03,No,No
0.06,No,No
0.03,No,No
0.09,No,No
0.03,No,No
0.13,No,No
0.08,No,No
0.03,No,No
0.02,No,No
0.02,No,No
0.75,Yes,Yes
0.02,No,No
0.07,No,No
0.02,No,No
0.01,No,No
0.31,No,No
0.05,No,No
0.02,No,No
0.01,No,No
0.13,No,No
0.11,No,No
0.06,No,No
0.14,No,No
0.74,Yes,Yes
0.13,No,No
0.68,Yes,Yes
0.68,Yes,Yes
0,No,No
0.19,No,No
0.02,No,No
0.05,No,No
0.06,No,No
0.03,No,No
0.02,No,No
0.78,Yes,Yes
0.02,No,No
0.09,No,No
0.06,No,No
0.16,No,No
0.01,No,No
0.04,No,No
0.41,Yes,No
0.74,Yes,Yes
0.09,No,No
0.08,No,No
0.02,No,No
0.01,No,No
0.06,No,No
0.1,No,No
0.02,No,No
0,No,No
0.03,No,No
0.08,No,No
0.28,Yes,No
0.06,No,No
0.06,No,No
0,No,No
0.17,No,No
0.04,No,No
0.06,No,No
0.1,No,No
0.73,Yes,Yes
0.02,No,No
0.11,No,No
0.71,Yes,Yes
0.06,No,No
0.06,No,No
0.04,No,No
0.12,No,No
0.14,No,No
0.83,Yes,Yes
0.02,No,No
0.69,Yes,Yes
0.13,No,No
0.03,No,No
0.14,No,No
0.82,Yes,Yes
0.09,No,No
0.07,No,No
0.04,No,No
0.02,No,No
0,No,No
0.09,No,No
0.08,No,No
0.07,No,No
0.49,Yes,No
0.03,No,No
0.79,Yes,Yes
0.14,No,No
0.03,No,No
0.01,No,No
0.08,No,No
0.76,Yes,Yes
0.03,No,No
0.73,Yes,Yes
0.13,No,No
0.02,No,No
0.02,No,No
0.08,No,No
0.07,No,No
0.03,No,No
0,No,No
0.09,No,No
0.73,Yes,Yes
0.06,No,No
0.06,No,No
0.06,No,No
0.04,No,No
0.75,Yes,Yes
0,No,No
0.1,No,No
0.06,No,No
0.06,No,No
0.01,No,No
0.01,No,No
0.06,No,No
0.03,No,No
0.08,No,No
0.01,No,No
0.07,No,No
0.13,No,No
0.4,Yes,No
0.84,Yes,Yes
0.09,No,No
0.25,No,No
0.01,No,No
0.15,No,No
0.12,No,No
0.04,No,No
0.04,No,No
0.01,No,No
0.19,No,No
0.14,No,No
0.12,No,No
0.32,Yes,No
0.11,No,No
0.05,No,No
0.15,No,No
0.02,No,No
0.89,Yes,Yes
0.6,Yes,Yes
0.03,No,No
0.04,No,No
0.21,No,No
0.28,No,No
0.69,Yes,Yes
0.56,Yes,Yes
0.05,No,No
0.13,No,No
0.04,No,No
0.08,No,No
0.07,No,No
0.01,No,No
0.14,No,No
0,No,No
0.41,No,No
0.04,No,No
0.02,No,No
0.06,No,No
0.72,Yes,Yes
0.09,No,No
0.04,No,No
0.04,No,No
0.01,No,No
0.04,No,No
0.24,No,No
0.05,No,No
0,No,No
0.02,No,No
0.03,No,No
0.78,Yes,Yes
0.12,No,No
0.04,No,No
0.04,No,No
0.03,No,No
0.08,No,No
0.05,No,No
0.01,No,No
0.06,No,No
0.71,Yes,Yes
0.03,No,No
0,No,No
0.25,No,No
0.8,Yes,Yes
0.04,No,No
0.18,No,No
0.22,No,No
0.06,No,No
0.1,No,No
0.06,No,No
0.08,No,No
0.16,No,No
0.1,No,No
0.15,No,No
0.69,Yes,Yes
0.17,No,No
0.1,No,No
0.1,No,No
0.33,Yes,No
0.79,Yes,Yes
0.06,No,No
0,No,No
0.02,No,No
0.11,No,No
0.05,No,No
0.16,No,No
0.1,No,No
0.02,No,No
0.03,No,No
0.08,No,No
0.04,No,No
0.1,No,No
0.04,No,No
0.08,No,No
0.04,No,No
0.14,No,No
0.09,No,No
0.1,No,No
0.04,No,No
0.04,No,No
0.07,No,No
0.02,No,No
0.17,No,No
0.1,No,No
0.05,No,No
0.05,No,No
0.08,No,No
0.14,No,No
0.07,No,No
0.04,No,No
0.03,No,No
0.09,No,No
0,No,No
0.09,No,No
0.1,No,No
0.1,No,No
0.22,No,No
0.01,No,No
0.48,Yes,No
0.02,No,No
0.07,No,No
0.76,Yes,Yes
0.06,No,No
0.76,Yes,Yes
0.03,No,No
0.05,No,No
0.09,No,No
0.02,No,No
0.05,No,No
0.08,No,No
0.08,No,No
0.71,Yes,Yes
0.05,No,No
0.04,No,No
0.1,No,No
0.04,No,No
0.03,No,No
0.08,No,No
0.67,Yes,Yes
0.05,No,No
0.08,No,No
0.09,No,No
0.02,No,No
0.03,No,No
0.05,No,No
0.08,No,No
0.1,No,No
